key,Actividad Econ&oacutemica,E-mail,Fax,Fecha de Constitución,Fecha de listado en BMV,Historia de la Empresa,Oficinas Corporativas,Principales Productos y/o Servicios,Ramo,Relación con Inversionistas,Sector,Subramo,Subsector,Teléfono
GMEXICO,"PROMOVER, CONSTITUIR, ORGANIZAR, EXPLOTAR, ADQUIRIR Y TOMAR PARTICIPACIÓN EN EL CAPITAL SOCIAL O PATRIMONIO DE TODO GÉNERO DE SOCIEDADES MERCANTILES O CIVILES, ASOCIACIONES O EMPRESAS, YA SEAN INDUST",marlene.finny@gmexico.mx,11035582,02-Sep-1999,12-Oct-2000,"EL ANTECEDENTE INMEDIATO DE GRUPO MEXICO FUE LA EMPRESA AMERICAN SMELTING AND REFINING CO., QUE EN 1965 SE REORGANIZA PARA FORMAR ASARCO MEXICANA CON EL 51% DE CAPITAL NACIONAL, MAS TARDE EN 1978 SE CREA LA CONTROLADORA GRUPO INDUSTRIAL MINERA MEXICO Y COMO SUBSIDIARIA DE ESTA INICIA OPERACIONES MEDISA CON EL 66% PROPIEDAD DE GRUPO MEXICO Y 34% DE ASARCO AGRUPANDO ASI TODAS LAS OPERACIONES MINERAS DEL GRUPO. DESDE 1988 GMEXICO HA PARTICIPADO EN LAS LICITACIONES PUBLICAS ADQUIRIENDO DEL GOBIERNO FEDERAL A MINERA DE COBRE Y MINERA CANANEA Y CONSOLIDANDO SUS OPERACIONES A TRAVES DE ASOCIACIONES ESTRATEGICAS QUE LE HAN PERMITIDO LA EXPANSION DE SUS NEGOCIOS.","Campos Eliseos 400 Lomas de Chapultepec ,11000, MEXICO ,D.F. CDMX","PROCESAMIENTO DE COBRE, ZINC, PLATA, ORO, PLOMO Y MOLIBDENO",METALES Y MINERÍA,LIC. MARLENE FINNY (DIRECTOR RI),MATERIALES,MINERÍA Y OTROS METALES,MATERIALES,11035000
GMXT,TRANSPORTE DE CARGA POR FERROCARRIL,genaro.guerrero@gmxt.mx,52463700,19-Dec-2014,28-Sep-2017,,"BOSQUE DE CIRUELOS #99 BOSQUES DE LAS LOMAS ,11700, MEXICO CDMX",TRANSPORTE DE MATERIA PRIMA Y PRODUCTOS TERMINADOS,INFRAESTRUCTURA DE TRANSPORTES,INGENIERO GENARO GUERRERO (DIRECTOR DE RELACION CON INVERSIONISTAS),INDUSTRIAL,CARRETERAS Y VÍAS FÉRREAS,TRANSPORTES,52463700
GNP,OPERAR EN EL RAMO DE SEGUROS.,roman.toledo@gnp.com.mx,5227 31 99,21-Nov-1901,03-Dec-1946,"Historia y desarrollo de la emisora GNP es una de las compañías aseguradoras líderes en el mercado mexicano, con 117 años de experiencia. Asimismo, es reconocida como una de las compañías más confiables, profesionales y solventes. El domicilio fiscal y las oficinas principales de GNP se encuentran en Avenida Cerro de las Torres 395, Colonia Campestre Churubusco, Delegación Coyoacán, C.P. 04200, Ciudad de México y el teléfono de sus principales oficinas es 52-27-39-99. En 1972, los Accionistas adquieren La Nacional, Compañía de Seguros, S.A. (constituida en México en 1901 como una de las primeras empresas de seguros de Vida en México) y Seguros La Provincial, S.A. (creada en 1936, operando principalmente seguros de Daños, Accidentes y Enfermedades) y el 23 de noviembre de 1992 se lleva a cabo la fusión de ambas compañías cambiando su denominación a la de Grupo Nacional Provincial, S. A., que actualmente tiene una duración indefinida. En 1998, Grupo Nacional Provincial, S.A., inició la difusión de su nombre comercial con las siglas ""GNP"". En el mes de diciembre de 2001, se realizó la adquisición del 99.9% y 94.69% de las acciones de Arrendadora Valmex, S.A. de C.V. (hoy Valmex Soluciones Financieras, S.A. de C.V., SOFOM, ENR) y Crédito Afianzador, S.A. Compañía Mexicana de Garantías, respectivamente. Asimismo, de conformidad con los acuerdos de la Asamblea General Extraordinaria de Accionistas, se escindió de GNP el negocio de pensiones, constituyendo una nueva sociedad denominada GNP Pensiones, S.A. de C.V., la cual actualmente forma parte de Grupo Profuturo, S.A.B. de C.V. El Consejo de Administración, en septiembre de 2006, autorizó una suscripción de acciones por $500 mdp, de los cuales, se suscribieron $499.5 mdp en dos plazos, representando un total de 17,837,614 acciones suscritas. Esta aportación de capital permitió a GNP contar con un mayor margen de solvencia y financiar proyectos para el desarrollo de los negocios. En cumplimiento a la LMV se le adicionó a la denominación ""Grupo Nacional Provincial, Sociedad Anónima"", la palabra ""Bursátil"", o su abreviatura S.A.B., lo cual fue acordado en la Asamblea General Extraordinaria y Ordinaria de Accionistas celebrada el 13 de diciembre de 2006 y aprobada por la SHCP el 25 de abril de 2007. En el 2007, se llevaron a cabo diversas operaciones relativas a algunas subsidiarias, que comprenden: (a) la adquisición por parte de GNP de las acciones de Médica Integral GNP, S.A. de C.V., empresa de salud que era subsidiaria de Nalterfin, S.A. de C.V., y: (b) la adquisición por parte de la filial Médica Móvil, S.A. de C.V., de las acciones de la empresa de transporte aéreo Aerovics, S.A. de C.V., igualmente propiedad de Nalterfin, S.A. de C.V. Una vez realizadas las operaciones mencionadas, GNP efectuó la venta de las acciones de Nalterfin, S.A. de C.V., de las cuales era propietaria, a una parte relacionada de Grupo Bal. Durante 2008, GNP constituyó cinco nuevas empresas cuyo objeto es la prestación de servicios. Dos de ellas fueron constituidas para la administración de agentes de seguros de GNP y de Médica Integral GNP, S.A. de C.V. (Servicios Especializados en Ventas de Seguros, S.A. de C.V. y Servicios de Administración de Agentes Provisionales de Seguros, S.A. de C.V.) Dos más fueron constituidas para el control de médicos y ajustadores del área de reclamaciones (Servicios SAAEX, S.A. de C.V. y Servicios Administrativos en Reclamaciones, S.A. de C.V.). Adicionalmente se constituyó la sociedad GNP Arrendamiento y Administración de Flotillas, S. A. de C.V., para la administración de flotillas de automóviles para apoyar la operación de la Arrendadora Valmex Soluciones Financieras, S.A. de C.V., SOFOM, ENR. En 2009, dando respuesta a la iniciativa del Gobierno Federal para incrementar el acceso de seguros a un mayor número de personas y a sectores más vulnerables, GNP fue la primera aseguradora en lanzar al mercado los productos básicos estandarizados de Automóviles, Gastos Médicos y Vida, a través de la nueva línea de productos ""Línea Accesible"". El 2011 se caracterizó por el posicionamiento de GNP en el segmento de negocio de beneficios para empleados principalmente en la operación de Vida, confirmando el liderazgo en el mercado asegurador, gracias a los esfuerzos de proximidad y atención personalizada hacia los principales clientes y en los canales de distribución. También en este rubro destaca la consolidación de la estructura de servicio dirigida a la atención del sector público, a través de la creación en junio de ese mismo año de la Dirección de Sector Público, lo cual permitió fortalecer la presencia de GNP en este importante nicho de mercado. En 2012, se concretó la venta de Médica Integral GNP, S.A. de C.V., y su empresa filial Servicios de Administración de Agentes Provisionales de Seguros, S.A. de C.V. y por otro lado, se decidió cerrar las cinco clínicas que dicha sociedad operaba. Adicionalmente, Servicios SAAEX, S.A. de C.V., empresa subsidiaria de GNP, que proporcionaba servicios de personal médico a Médica Integral GNP, S.A. de C.V., dejó de tener operaciones. En 2013, se llevó a cabo la fusión de GNP Comercializadora de Salvamentos, S.A. de C.V. y Servicios SAAEX S.A de C.V. (como empresas fusionadas) con Servicios Administrativos en Reclamaciones, S.A. de C.V., (como empresa fusionante). La fusión tuvo como finalidad mejorar la rentabilidad, así como reducir los costos de operación y control administrativo que conllevaba operar las tres empresas, aprovechando la estandarización y simplificación de procesos establecidos en la empresa fusionante. En 2014 la Institución cambió la forma de reconocer los ingresos por contratos de seguros para el subramo de Vida Grupo (corto plazo). Hasta 2013, las primas correspondientes por dichos seguros se reconocían cuando eran exigibles al asegurado (con base en forma de pago) y a partir de 2014, se reconoce la totalidad de la prima al momento de emitir las pólizas respectivas, con independencia de su exigibilidad (forma anual). El cambio anterior se realizó informando a la CNSF, en anticipación a lo establecido en las nuevas disposiciones contables contenidas en la nueva LISF y CUSF que entraron en vigor, en estos aspectos, el 1 de enero de 2016. En 2015, el señor Alejandro Baillères Gual fue promovido como Director Corporativo de Grupo Bal. Con la entrada en vigor de la nueva LISF, durante 2015 GNP adoptó el pilar de Gobierno Corporativo de Solvencia II, que incluye el fortalecimiento de Control Interno, Administración de Riesgo, Función Actuarial y la contratación de servicios con terceros. En 2016, GNP adoptó el pilar I Valuación y el pilar III Revelación de Información, que implica la implementación de nuevas metodologías de reservas, integración y envío de la nueva reportería, así como la regulación contable. En 2016, GNP adquirió el 99% de las acciones de Corporación GNP S.A. de C.V., con esta compra de acciones GNP fortalece su alianza con Lloyd´s y las operaciones son reconocidas mediante la consolidación de los estados financieros. El 1° de junio de 2017 se publicó en el DOF un oficio mediante el cual se modificó la autorización otorgada a Grupo Nacional Provincial S.A.B. para operar como Institución de Seguros con el fin de alinear los estatutos a lo señalado en la LISF. El 26 de abril 2018 fueron publicadas en el DOF las disposiciones de carácter general aplicables a las entidades y emisoras supervisadas por la CNBV que contraten servicios de auditoría externa de estados financieros básicos, con la finalidad de fortalecer al sistema financiero nacional, requiriendo que los trabajos de auditoría externa cumplan con los estándares de calidad que se incluyan en estas disposiciones.","AVENIDA CERRO DE LAS TORRES # 395 CAMPESTRE CHURUBUSCO ,04200, MEXICO CDMX",PROPORCIONAR LOS SERVICIOS ENMARCADOS EN LA LEY GENERAL DE INSTITUCIONES DE SEGUROS.,SEGUROS,LIC. ROMÁN TOLEDO (DIRECTOR DE PLANEACIÓN Y ANÁLISIS FINANCIERO),SERVICIOS FINANCIEROS,SEGUROS DIVERSOS,ENTIDADES FINANCIERAS,5552273999
GOMO,"CONTROLADORA DE ACCIONES DE EMPRESAS DEDICADAS A LA COMERCIALIZACION, DISTRIBUCION, COMPRA VENTA, DE TODA CLASE DE APARATOS ELECTRICOS, ELECTRODOMESTICOS Y OTROS PRODUCTOS SIMILARES.",csanchez@gomo.com.mx,52121907,30-Jun-1992,12-Sep-1997,"LA COMPAÑÍA TIENE SU ORIGEN EN EL AÑO DE 1989 CUANDO SU FUNDADOR, EL LIC. JUAN MANUEL JIMÉNEZ GÓMEZ, INICIÓ LA IMPORTACIÓN Y COMERCIALIZACIÓN DE EQUIPOS DE AUDIO Y VIDEO DE MARCAS DE RECONOCIDO PRESTIGIO INTERNACIONAL. ASÍ, EN 1992 LA COMPAÑÍA INCORPORA SU PRIMERA DISTRIBUCIÓN OFICIAL BAJO LA MARCA MITSUBISHI, PARA MÁS TARDE AGREGAR A ÉSTA LAS MARCAS TOSHIBA, KENWOOD Y AUDIOVOX. EN EL AÑO DE 1997, GOMO INICIA LA COMERCIALIZACIÓN DE DOS MARCAS PROPIAS, NAOKI Y GOMO, PARA LA LÍNEA DE AUDIO Y VIDEO. A FINALES DE 1997 AMPLÍA SUS DISTRIBUCIONES, CON LAS MARCAS WHITE WESTINGHOUSE Y FRIGIDAIRE, EN EL RUBRO DE LÍNEA BLANCA. A PRINCIPIOS DE 1998, LA COMPAÑÍA ADQUIERE CHOPIN, S.A. DE C.V., CON LO CUAL INICIA LA COMERCIALIZACIÓN DE INSTRUMENTOS MUSICALES, ARTÍCULOS DEPORTIVOS BAJO LA MARCA YONEX Y EQUIPOS DE AUDIO DE ALTA TECNOLOGÍA. DURANTE ESTE AÑO GOMO OBTUVO LA DISTRIBUCIÓN DE TELEVISORES Y VIDEOCASETERAS DE ALTA TECNOLOGÍA DE LA MARCA LOEWE, ASÍ COMO DE PRODUCTOS DE LA MARCA PHILCO ORIENTADOS A UNA MERCADO DE CONSUMO POPULAR. ASIMISMO HA INICIADO LA DISTRIBUCIÓN DE LA LÍNEA DE ENTRETENIMIENTO PLAY STATION QUE COMPRENDE HARDWARE Y JUEGOS DE VIDEO.","AV.ALVARO OBREGON 302 PISO 4 ROMA ,06700, MEXICO CDMX","HITACHI, HYUNDAI, PHILCO Y ZANETTI ( MOTOCICLETAS )",COMERCIALIZACIÓN Y DISTRIBUCIÓN DE BIENES DE CONSUMO DURADERO Y CONFECCIÓN,LIC. CARLOS ENRIQUE SANCHEZBENITEZ (DIRECTOR DE ADMINISTRACION Y F),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,COMERCIALIZACIÓN Y DISTRIBUCIÓN DE APARATOS ELECTRÓNICOS,BIENES DE CONSUMO DURADERO Y CONFECCIÓN,52121907
GPH,CONTROLADORA DE EMPRESAS DEDICADAS PRINCIPALMENTE A LA COMERCIALIZACION DE ARTICULOS Y ACCESORIOS PARA USO PERSONAL Y PARA EL HOGAR.,ariveron@ph.com.mx,55252235,11-Jul-1989,20-Apr-1990,"EN 1888 LOS SEÑORES TRON Y LEAUTAUD CONSTRUYERON UN EDIFICIO EN EL CENTRO HISTÓRICO DE LA CIUDAD DE MÉXICO CON LA VISIÓN DE ABRIR UNA TIENDA ELEGANTE DE DEPARTAMENTOS. FUE TAL LA POPULARIDAD QUE ADQUIRIÓ ESTE EDIFICIO CONSTRUIDO EN ACERO Y HIERRO POR LO CUAL SE DECIDIÓ BAUTIZAR A LA NUEVA TIENDA DE DEPARTAMENTOS COMO ""EL PALACIO DE HIERRO"", CONSTITUYÉNDOSE COMO LA PRIMERA SOCIEDAD ANÓNIMA EN EL ÁMBITO COMERCIAL MEXICANO. EL 25 DE MARZO DE 1958 SE INAUGURÓ EL PALACIO DE HIERRO DURANGO. EN 1963 EL PALACIO DE HIERRO SE INTEGRA A GRUPO BAL ENTONCES COMANDADO POR DON RAÚL BAILLERES ACTUALMENTE DIRIGIDO POR DON ALBERTO BAILLERES. EN 1980 Y 1989 SE ABRIERON TIENDAS EN EL CENTRO COMERCIAL PERISUR Y EN EL CENTRO COMERCIAL COYOACÁN RESPECTIVAMENTE. EN 1993 ABRE SUS PUERTAS LA TIENDA SANTA FE EN EL CENTRO COMERCIAL SANTA FE, EN 1997 POLANCO DENTRO DE PLAZA MOLIERE Y EN 1998 SATÉLITE EN PLAZA SATÉLITE, UBICANDO A EL PALACIO DE HIERRO COMO LA TIENDA DEPARTAMENTAL DE MÁS PRESTIGIO EN MÉXICO.","DURANGO 230 2o PISO ROMA ,06700, MEXICO CDMX","ROPA, MUEBLES PARA EL HOGAR, REGALOS, ETC.",VENTAS MULTILÍNEA,C.P. ANTONIO RIVERON (DIRECTOR DE CONTRALORIA ),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,TIENDAS DEPARTAMENTALES,VENTA AL POR MENOR,52295400
GPROFUT,"PROMOVER, OPERAR Y DESARROLLAR TODO TIPO DE EMPRESAS Y PARTICIPAR EN SU CAPITAL, INCLUYENDO COMPAÑÍAS DE SEGUROS, DE PENSIONES, ADMINISTRADORAS DE FONDOS DE AHORRO PARA EL RETIRO, OPERADORAS DE SOCIED",daniel.peregrino@profuturo.com.mx,58096117,15-Nov-2001,20-Mar-2002,,"BLVD. ADOLFO LOPEZ MATEOS 2009 PISO 6 LOS ALPES ,01010, MEXICO CDMX",,GRUPOS FINANCIEROS,ACT. DANIEL IGNACIO PEREGRINO (DIRECTOR DE FINANZAS),SERVICIOS FINANCIEROS,GRUPOS FINANCIEROS,ENTIDADES FINANCIERAS,58096000
GRUMA,ES EL PRODUCTOR MAS GRANDE DE HARINA DE MAIZ Y TORTILLAS EN EL MUNDO.,rsanchezm@gruma.com,83993359,24-Dec-1971,29-Apr-1994,"Fundada en 1949, GRUMA S.A.B. de C.V. (""GRUMA"") es uno de los productores más grandes de harina de maíz y tortillas en el mundo. Con marcas líderes en la mayoría de sus mercados, GRUMA opera principalmente en los Estados Unidos, México, Centroamérica, Europa, Asia y Oceanía. La compañía tiene sus oficinas corporativas en San Pedro Garza García, México, y cuenta con alrededor de 20,500 empleados y 74 plantas. En 2017, GRUMA logró ventas netas de aproximadamente US$3,700 millones, de las cuales el 73% provinieron de las operaciones fuera de México. Para mayor información, favor de visitar www.gruma.com.","CALZADA DEL VALLE 407 ORIENTE DEL VALLE ,66220, SAN PEDRO GARZA GCIA NL","HARINA DE MAIZ, TORTILLAS Y HARINA DE TRIGO.",ALIMENTOS,ING. ROGELIO SANCHEZ (SUBDIRECTOR FINANZAS CORP.),PRODUCTOS DE CONSUMO FRECUENTE,PRODUCCIÓN Y COMERCIALIZACIÓN DE ALIMENTOS,"ALIMENTOS, BEBIDAS Y TABACO",83993300
GSANBOR,"CONTROLADORA DE EMPRESAS DEDICADAS A LA OPERACION DE TIENDAS DEPARTAMENTALES Y RESTAURANTES, FABRICACION CHOCOLATES Y ARTICULOS DE TOCADOR, ARRENDAMIENTO Y ADMINISTRACION DE CENTROS COMERCIALES",napinag@condumex.com.mx,,31-Dec-1928,21-Apr-1999,"EN 1903 FUE ESTABLECIDA LA FARMACIA AMERICANA POR LOS HERMANOS SANBORN. EN 1905 LA RAZON SOCIAL CAMBIA POR SANBORN BROS. SUCRS. EN 1919, LA CIA. OCUPA EL EDIFICIO CONOCIDO COMO ""LA CASA DE LOS AZULEJOS"" ESTABLECE SU PRIMER RESTAURANTE Y MODIFICA SU RAZON SOCIAL POR LA DE SANBORN HERMANOS, S. A. EN 1985 ES ADQUIRIDA POR GRUPO CARSO. EN MARZO DE 1999 ES FUSIONADA POR COMERCIAL CARSO S. A. DE C. V.; ESTA ULTIMA CAMBIA SU DENOMINACION A GRUPO SANBORNS, S. A. DE C. V. REESTRUCTURANDOSE CON EL OBJETO DE AGRUPAR EN UNA SOLA SOCIEDAD A SANBORN HERMANOS, SEARS OPERADORA MEXICO, SANBORNS CAFÉ, SAKS FIFTH AVENUE, TIENDAS DAX, ASI COMO LAS TIENDAS MIXUP, DISCOLANDIA, ISHOP Y DOS CENTROS COMERCIALES.","LAGO ZURICH 245 EDIFICIO PRESA FALCÓN PISO 7 AMPLIACION GRANADA ,11529, MEXICO CDMX","CHOCOLATES, ARTICULOS DE TOCADOR, RESTAURANTES, BARES, DISCOS, REVISTAS.",CONTROLADORAS,C.P. NORMA ANGELICA PIÑA (RESP. INFORM. A INVERSIONISTAS),INDUSTRIAL,CONTROLADORAS,BIENES DE EQUIPO,55 53259900
HCITY,INDUSTRIA DEL HOSPEDAJE,hvazquez@hotelescity.com,58498099,12-Apr-2002,14-Jun-2013,"LA SOCIEDAD SE CONSTITUYÓ EL 16 DE ABRIL DE 2002, BAJO LA FORMA DE SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE (S.A. DE C.V.). EL 23 DE OCTUBRE DE 2007, LA SOCIEDAD ADOPTÓ EL RÉGIMEN DE UNA SOCIEDAD ANÓNIMA PROMOTORA DE INVERSIÓN DE CAPITAL VARIABLE (S.A.P.I. DE C.V.) Y REFORMÓ SUS ESTATUTOS SOCIALES EN SU INTEGRIDAD. CON FECHA 22 DE MAYO DE 2013 EN ASAMBLEA ORDINARIA Y EXTRAORDINARIA DE ACCIONISTAS, SE RESOLVIÓ, ENTRE OTROS, APROBAR LA ADOPCIÓN DE LA MODALIDAD DE SOCIEDAD ANÓNIMA BURSÁTIL (S.A.B. DE C.V.), ASÍ COMO UNA NUEVA REFORMA TOTAL A SUS ESTATUTOS SOCIALES PARA CUMPLIR CON LOS REQUISITOS ESTABLECIDOS EN LA LEY DEL MERCADO DE VALORES CON RESPECTO A LAS SOCIEDADES CUYAS ACCIONES COTIZAN ENTRE EL PÚBLICO.","JUAN SALVADOR AGRAZ 69 SANTA FE CUAJIMALPA ,05348, CIUDAD DE MEXICO CDMX","DISEÑO, ADMINISTRACIÓN, OPERACIÓN Y FRANQUICIA DE HOTELES DE SERVICIO LIMITADO","HOTELES, RESTAURANTES Y ESPARCIMIENTO",LIC HÉCTOR VÁZQUEZ (VP DE FINANZAS CORP. Y RELACIÓN CON INVERSIONISTAS),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,HOTELES Y CENTROS DE VACACIONES,SERVICIOS AL CONSUMIDOR,52498050
HERDEZ,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE PRODUCTOS ALIMENTICIOS EN CONSERVA, ENLATADOS Y ENVASADOS.",aac@herdez.com,+52 (55) 5201 5784,06-Sep-1991,31-Oct-1991,"Grupo Herdez es una empresa líder en el sector de alimentos procesados y uno de los principales actores en la categoría de helados en México, y en el segmento de comida mexicana en los Estados Unidos. La Compañía participa en una amplia gama de categorías, incluyendo burritos, conservas vegetales, guacamole, salsas caseras, miel, helado, mermelada, salsa de tomate, mayonesa, mole, mostaza, alimentos orgánicos, pastas, especias, té, puré de tomate y atún. Estos se comercializan a través de una cartera de marcas excepcionales, que incluyen Aires de Campo®, Barilla®, Búfalo®, Chi-Chi's®, Del Fuerte®, Don Miguel®, Doña Maria®, Embasa®, Helados de Nestlé, HERDEZ®, La Victoria®, McCormick®, Nutrisa®, enteramente Guacamole® y Yemina®. Adicionalmente, tiene acuerdos de distribución en México para Kikkoman®, Ocean Spray y Reynolds®. Grupo Herdez cuenta con 16 plantas, 22 centros de distribución, 7 buques atuneros, más de 475 puntos de venta de Grupo Nutrisa y una plantilla laboral superior a los 9,100 colaboradores. La Compañía fue fundada en 1914 y está listada en la Bolsa Mexicana de Valores desde 1991.","MONTE PELVOUX 215 LOMAS DE CHAPULTEPEC ,11000, MEXICO CDMX","ATÚN, CAFÉ, GUACAMOLE, ESPECIAS, MAYONESA, MERMELADA, MIEL DE ABEJA, MOLE, MOSTAZA, PASTA, PURÉ DE TOMATE, SALSA CÁTSUP, SALSAS CASERAS, TÉ Y VEGETALES EN CONSERVA, ENTRE OTROS.",ALIMENTOS,LIC. ANDREA AMOZURRUTIA (PLANEACIÓN FINANCIERA),PRODUCTOS DE CONSUMO FRECUENTE,PRODUCCIÓN Y COMERCIALIZACIÓN DE ALIMENTOS,"ALIMENTOS, BEBIDAS Y TABACO",+52 (55) 5201 5655
HIMEXSA,"FABRICACION Y VENTA DE TOALLAS Y BATAS DE DIFERENTES ESTAMPADOS Y TAMAÑOS, TANTO PARA BAÑO COMO DE PLAYA.",jorge@hilasal.com,36681916,22-Apr-1980,26-Jun-1996,"ES UNA COMPAÑIA DEL SECTOR TEXTIL. INICIO OPERACIONES EL 22 DE ABRIL DE 1982, EN EL SALTO, JALISCO. FUNDADA POR LA ASOCIACION ENTRE EMPRESARIOS MEXICANOS Y SALVADOREÑOS. ORIENTA SU PRODUCCION A LA FABRICACION DE TOALLAS Y BATAS DE ALGODON. CUENTA CON TECNOLOGIA DE PUNTA, LO QUE LE PERMITE ATENDER AL MERCADO NACIONAL E INTERNACIONAL, SIENDO SU DISTRIBUCION A TRAVES DE TIENDAS DEPARTAMENTALES Y DE AUTOSERVICIO. MERCADO INTERNACIONAL AL QUE DIRIGE SUS PRODUCTOS: ESTADOS UNIDOS, SUDAMERICA Y EUROPA.","KM 9.2 CARRETERA A EL SALTO VIA EL VERDE CORREDOR INDUSTRIAL EL SALTO ,45680, EL SALTO JAL",FABRICACION Y VENTA DE TEXTILES (TOALLAS PARA HOGAR Y PLAYA),"TEXTIL, CONFECCIÓN Y BIENES DE LUJO",LIC JORGE ANTONIO GARCIA (DIRECTOR GENERAL ),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,TEXTIL,BIENES DE CONSUMO DURADERO Y CONFECCIÓN,36681900
HOMEX,TENEDORA DE ACCIONES,vfueyo@homex.com.mx,6677585800,30-Mar-1998,30-May-2003,"Desarrolladora Homex, S.A.B. de C.V. tiene sus orígenes en 1989. La Compañía es una sociedad anónima bursátil de capital variable constituida en Culiacán, Sinaloa, México, conforme a la Ley General de Sociedades Mercantiles el 30 de marzo de 1998, con duración indefinida. Nuestra razón social es Desarrolladora Homex, S.A.B. de C.V. Nuestras principales oficinas corporativas están ubicadas en Boulevard Rotarismo No. 1140, Desarrollo Urbano Tres Rios, 80020, Culiacán, Sinaloa, México. Nuestro número telefónico es +52 (667) 758-5800.","BOULEVARD ROTARISMO 1140 DESARROLLO URBANO TRES RIOS ,80020, CULIACAN SIN",,CONSTRUCCIÓN DE VIVIENDAS,LAE VANIA FUEYO (DIR DE RELACION CON INVERSIONI),INDUSTRIAL,CONSTRUCCIÓN DE VIVIENDAS,CONSTRUCCIÓN,6677585800
HOTEL,"ADQUISICIÓN DE ACCIONES O PARTICIPACIONES EN OTRAS SOCIEDADES MERCANTILES O CIVILES, Y LA REALIZACIÓN DE TODOS LOS ACTOS QUE LE CORRESPONDAN COMO SOCIEDAD TENEDORA DE DICHAS ACCIONES",inversionistas@gsf-hotels.com,52928587,24-Nov-2006,12-Sep-2014,,"Juan Salvador Agraz No. 65 piso 20 Santa Fe Cuajimalpa ,05348, Ciudad de México CDMX",,"HOTELES, RESTAURANTES Y ESPARCIMIENTO",Ing. Miguel Bornacini (Director de Relación con Inversionistas),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,HOTELES Y CENTROS DE VACACIONES,SERVICIOS AL CONSUMIDOR,52610800
IASASA,FABRICACION Y VENTA DE AUTOPARTES ESTAMPADAS DE ACERO Y FABRICACION DE RUEDAS Y RIMS PARA VEHICULOS DE AUTOPARTES TANTO PARA EQUIPO ORIGINAL COMO DE REPUESTO.,jatrevino@gir.com.mx,018183520878,13-May-1957,20-Apr-1994,"SE CONSTITUYE EN MAYO DE 1957, CON EL OBJETO DE FABRICAR PARTES Y COMPONENTES AUTOMOTRICES. A PARTIR DE 1962, INICIA LA FABRICACION DE RIMS Y RUEDAS. EN EL EJERCICIO 1965, EMPIEZA A FABRICAR PARTES ESTAMPADAS DE ACERO PARA DIFERENTES VEHICULOS ENSAMBLADOS EN MEXICO, ABASTECIENDO A LAS PRINCIPALES ARMADORAS DE VEHICULOS EN MEXICO. EN MAYO DE 1999, INAUGURA UNA NUEVA PLANTA DE ESTAMPADOS EN LA CIUDAD DE TLAXCALA PARA MEJORAR EL SERVICIO DE ENTREGA DE PRODUCTOS A SUS CLIENTES.","AVENIDA UNIVERSIDAD 1011 NORTE CENTRO DE LA CIUDAD ,66400, SAN NICOLAS DE LOS G NL","ESTAMPADOS AUTOMOTRICES DE ACERO, ENSAMBLE Y SUBENSAMBLE DE PRODUCTOS ESTAMPADOS, RIMS Y RUEDAS PARA CAMION Y RUEDAS DE AUTO.",COMPONENTES DE AUTOMÓVILES,ING. JUAN GREGORIO RAMIREZ (DIRECTOR GENERAL),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,AUTO PARTES Y EQUIPO DE AUTOMÓVILES,AUTOMÓVILES Y COMPONENTES,018183769797
ICA,"SOCIEDAD CONTROLADORA DE EMPRESAS DEDICADAS A LA CONSTRUCCION PESADA, INDUSTRIAL O URBANA ASI COMO A DIVERSAS OBRAS DE INGENIERIA Y SERVICIOS.",pablo.garcia@ica.mx,,01-Jun-1979,10-Dec-1991,"EMPRESAS ICA, S.A.B DE C.V., LLEVA A CABO GRANDES PROYECTOS DE CONSTRUCCIÓN CIVIL E INDUSTRIAL Y OPERA UN PORTAFOLIO DE ACTIVOS A LARGO PLAZO, INCLUYENDO AEROPUERTOS, CARRETERAS, SERVICIOS MUNICIPALES DE AGUA E INMOBILIARIO. ICA, FUNDADA EN 1947, ES UN EMPRESA PÚBLICA QUE COTIZA EN LA BOLSA DE VALORES DE MÉXICO.","AV. PATRIOTISMO 201, PISO 5 SAN PEDRO DE LOS PINOS ,03800, MEXICO CDMX","CONSTRUCCIÓN, AGREGADOS Y PUERTOS, DESARROLLO INMOBILIARIO Y HOTELERÍA, CONCESIONES.",CONSTRUCCIÓN E INGENIERÍA,LIC PABLO GARCIA (VP DE FINANZAS),INDUSTRIAL,CONSTRUCCIÓN E INFRAESTRUCTURA,CONSTRUCCIÓN,52729991
